**********************************************************************************************************************************
Product Name                  Week 1              Week 2              Week 3              Week 4              Total Sales         
**********************************************************************************************************************************
OKINAWA                       5010                8430                8590                5480                27510               
WINTERMELON                   9010                7430                2340                2290                21070               
HOKKAIDO                      8430                8840                7340                2030                26640               
BROWNSUGAR                    4560                8900                5880                7540                26880               
NUTELLA                       5540                9300                2300                1250                18390               
MATCHA                        6400                8330                2030                1030                17790               
PASSION                       4500                3990                4670                4550                17710               
PEARL                         5600                3450                4560                7650                21260               
MANGO                         2300                1200                3100                2110                8710                

Weekly Sales                  51350               59870               40810               33930               185960              
